Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
100/100,100/100,100/100,,,,,,100/100,100/100
正在加载地图资源，请耐心等待,"Loading map resources, please wait",正在加载地图资源，请耐心等待,,,,,,マップリソースをロード中です。しばらくお待ちください。,지도 리소스를 로드하는 중입니다. 잠시 기다려 주십시오.
0%,0%,0%,,,,,,0%,0%
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
神级狩猎场,Divine Hunting Ground,神级狩猎场,,,,,,神レベルの狩場,신급 사냥터
前往,Go,前往,,,,,,に行く,이동
新手村,Beginner's Village,新手村,,,,,,初心者村,초보자 마을
中级狩猎场,Intermediate Hunting Ground,中级狩猎场,,,,,,中級狩場,중급 사냥터
高级狩猎场,Advanced Hunting Ground,高级狩猎场,,,,,,高度な狩場,고급 사냥터
10万年魂兽,"100,000-Year-Old Soul Beast",10万年魂兽,,,,,,10万年の魂獣,10만년 된 영혼의 짐승
猎杀,Hunting,猎杀,,,,,,ハント,사냥
广告奖励,Advertising Rewards,广告奖励,,,,,,広告報酬,광고 보상
看广告可以使用这个厉害的武器哟~,Watch ads to use this powerful weapon!,看广告可以使用这个厉害的武器哟~,,,,,,広告を見ればこの強力な武器を使うことができますよ~,광고를 보시면 이 강력한 무기를 사용하실 수 있습니다~
取消,Cancel,取消,,,,,,キャンセル,취소
免费获取,FREE,免费获取,,,,,,無料で入手,무료로 받으세요
每天限购一次,One purchase per day,每天限购一次,,,,,,購入は1日1回までに制限する,하루에 한 번만 구매 가능
 钻石+13888, Diamonds + 13888, 钻石+13888,,,,,, ダイヤモンド+13888, 다이아몬드+13888
20,20,20,,,,,,20,20
已领取,Claimed,已领取,,,,,,受け取った,받았다
充值,Recharge,充值,,,,,,補充する,충전하다
UserId：1111111111,UserId：1111111111,UserId：1111111111,,,,,,UserId：1111111111,UserId：1111111111
99999,99999,99999,,,,,,99999,99999
请输入兑换码,Please enter redemption code,请输入兑换码,,,,,,引き換えコードを入力してください,상환 코드를 입력하세요
请输入作者提供的兑换码，即可兑换奖励,Please enter the redemption code provided by the author to redeem the reward,请输入作者提供的兑换码，即可兑换奖励,,,,,,特典を引き換えるには、作者が提供する引き換えコードを入力してください。,보상을 교환하려면 작성자가 제공한 교환 코드를 입력하세요.
兑换,Exchange,兑换,,,,,,交換,교환
Text,Text,Text,,,,,,Text,Text
使用,Use,使用,,,,,,使用,사용
Play Ads,Play Ads,Play Ads,,,,,,Play Ads,Play Ads
天阶高级斗技,Advanced Battle Skill,天阶高级斗技,,,,,,天界レベルの高度な戦闘スキル,천국 수준의 고급 전투 기술
点击获得,Tap to get,点击获得,,,,,,クリックして入手,얻으려면 클릭하세요
未拥有,Not owned,未拥有,,,,,,所有していない,소유하지 않음
333/333,333/333,333/333,,,,,,333/333,333/333
斗技斗技,Fighter,斗技斗技,,,,,,戦闘スキル 戦闘スキル,격투 스킬 격투 스킬
"这里是角色套装界面,可以选择炫酷的技能进行战斗。","Here is the Character Suit interface, you can choose cool skills to fight.","这里是角色套装界面,可以选择炫酷的技能进行战斗。",,,,,,これはキャラクタースーツのインターフェースで、戦闘用のクールなスキルを選択できます。,전투에 필요한 멋진 스킬을 선택할 수 있는 캐릭터 슈트 인터페이스는 다음과 같습니다.
点击任意位置继续……,Tap anywhere to continue ......,点击任意位置继续……,,,,,,続行するには任意の場所をクリックしてください…,계속하려면 아무 곳이나 클릭하세요…
打开,Open,打开,,,,,,開ける,열려 있는
捏脸换装,Face Change,捏脸换装,,,,,,顔の変化,얼굴 변화
背景音乐,Music,背景音乐,,,,,,バックグラウンドミュージック,배경 음악
点我回家,Take me home.,点我回家,,,,,,クリックして家に帰ります,집에 가려면 클릭하세요
背包,Backpack,背包,,,,,,バックパック,배낭
排行榜,Leaderboard,排行榜,,,,,,ランキング一覧,순위 목록
在线奖励,Online Rewards,在线奖励,,,,,,オンライン特典,온라인 보상
领取任务,Receive Tasks,领取任务,,,,,,タスクを取得する,작업 받기
签到,Check-in,签到,,,,,,サインイン,로그인
免费升级,Free Upgrade,免费升级,,,,,,無料アップグレード,무료 업그레이드
充值钻石,Recharge Diamonds,充值钻石,,,,,,ダイヤモンドをリチャージする,다이아몬드 충전
兑换奖励,Redeem Rewards,兑换奖励,,,,,,報酬を引き換える,보상 사용
锻造魂环,Forge Soul Ring,锻造魂环,,,,,,ソウルリングの鍛造,단조 영혼의 반지
STAY,STAY,STAY,,,,,,STAY,STAY
攻击力：999,ATK: 999,攻击力：999,,,,,,攻撃力：999,공격력 : 999
等级99999 我是作者别打我,"Level 99999 I'm the author, don't hit me!",等级99999 我是作者别打我,,,,,,レベル99999 私が作者です、殴らないでください,레벨 99999 내가 작성자야 때리지마
血量:100/100,Health: 100/100,血量:100/100,,,,,,HP:100/100,체력:100/100
斗气:100/100,Qi: 100/100,斗气:100/100,,,,,,格闘気：100/100,격투기:100/100
经验：9999999/9999999,EXP: 9999999/9999999,经验：9999999/9999999,,,,,,経験値: 9999999/9999999,경험치: 9999999/9999999
是否开启队友误伤,Do you want to activate teammate damage?,是否开启队友误伤,,,,,,チームメイトの偶発的な怪我を可能にするかどうか,팀원 우발적 부상 허용 여부
已开启防御,Defense Enabled,已开启防御,,,,,,防御がオンになりました,방어가 켜졌습니다
开启挂机,Turn On Idle,开启挂机,,,,,,オンフックを有効にする,온훅 활성화
99999001,99999001,99999001,,,,,,99999001,99999001
19999,19999,19999,,,,,,19999,19999
九连杀！超越神啦！,Nine Kills! Beyond God!,九连杀！超越神啦！,,,,,,9連続キル！神を超えて！,9연속 킬! 신을 넘어서!
复活倒计时,Respawn Countdown,复活倒计时,,,,,,復活へのカウントダウン,부활을 향한 카운트다운
3,3,3,,,,,,3,3
复活后2秒内无敌,Invincible for 2s after respawn,复活后2秒内无敌,,,,,,復活後2秒以内に無敵になる,부활 후 2초 이내에 무적 상태가 됩니다.
你是谁你是谁你是,Who are you? Who are you?,你是谁你是谁你是,,,,,,あなたは誰ですか、あなたは誰ですか、あなたは誰ですか,당신은 누구입니까? 당신은 누구입니까?
 击败 , Defeat , 击败 ,,,,,, ビート , 이기다 
黑悟空关卡,Goku Air Level,黑悟空关卡,,,,,,黒悟空レベル,흑오공 레벨
9999级黑悟空,Lv 9999 Wukong,9999级黑悟空,,,,,,レベル9999 ブラックウーコン,레벨 9999 블랙 오공
挂机中,AFK in progress,挂机中,,,,,,オンフック,온훅
取消挂机,Cancel,取消挂机,,,,,,オンフックでキャンセル,온훅 취소
×36000,×36000,×36000,,,,,,×36000,×36000
随机2个永久套装,Random 2 permanent sets,随机2个永久套装,,,,,,ランダムな永久セット 2 個,무작위 영구 세트 2개
02:59:44,02:59:44,02:59:44,,,,,,02:59:44,02:59:44
可领取,Available,可领取,,,,,,コレクション可能,수집 가능
超凡大师 等级Lv.999,Master Lv.999,超凡大师 等级Lv.999,,,,,,特級マスターレベル Lv.999,초특급 마스터 레벨 Lv.999
爱玩游戏的小胖子,Game-playing little fat guy.,爱玩游戏的小胖子,,,,,,ゲームが大好きなデブ男,게임을 좋아하는 뚱뚱한 남자
1000钻石,1000 Diamonds,1000钻石,,,,,,ダイヤモンド 1000 個,다이아몬드 1000개
升级,UPGRADE,升级,,,,,,アップグレード,치받이
升级为百万年魂环,Upgrade to Million Year Soul Ring,升级为百万年魂环,,,,,,百万年魂の指輪にアップグレード,백만년소울링으로 업그레이드
100级解锁,Unlock at Level 100,100级解锁,,,,,,レベル100でロック解除される,레벨 100에 잠금 해제됨
9999,9999,9999,,,,,,9999,9999
确定要花费200000购买此英雄套装吗？,Are you sure you want to spend 200k coins on this Hero Set?,确定要花费200000购买此英雄套装吗？,,,,,,"このヒーロー セットを購入するのに 200,000 ドルを費やしてもよろしいですか?","정말로 이 영웅 세트를 구입하기 위해 200,000를 쓰시겠습니까?"
确定,Confirm,确定,,,,,,もちろん,확신하는
免费使用,Free to use,免费使用,,,,,,自由に使用できます,무료로 사용
需要花费200000金币购买,"Requires 200,000 coins to purchase",需要花费200000金币购买,,,,,,"購入には200,000金貨が必要です","구입하는데 200,000금화가 필요합니다."
看广告可免费使用一次,Watch ads to use once,看广告可免费使用一次,,,,,,広告視聴時に1回のみ無料で使用可能,광고 시청 시 1회 무료 사용 가능
未获得,Not Obtained,未获得,,,,,,未取得,획득하지 못함
限时,Time Limit,限时,,,,,,期間限定,제한된 시간
保存,Save,保存,,,,,,保存,구하다
999999999,999999999,999999999,,,,,,999999999,999999999
第7天,Day 7,第7天,,,,,,7日目,7일차
 钻石+99 等级+1, Diamonds +99 Level +1, 钻石+99 等级+1,,,,,, ダイヤ+99 レベル+1, 다이아몬드 +99레벨 +1
7日签到,7-Day,7日签到,,,,,,7日にサインイン,7일에 로그인하세요
登陆游戏 (1/1),Log in (1/1),登陆游戏 (1/1),,,,,,ゲームにログイン(1/1),게임에 로그인(1/1)
500000,500000,500000,,,,,,500000,500000
100,100,100,,,,,,100,100
领取奖励,Claim,领取奖励,,,,,,報酬を請求する,보상 청구
未完成,Incomplete,未完成,,,,,,未完了,완료되지 않음
每日任务,Daily Quest,每日任务,,,,,,日々のタスク,일일 업무
剩余: 15小时,Remaining: 15h,剩余: 15小时,,,,,,残り： 15時間,남은 금액: 15시간
任务已全部完成，等待刷新...,Please wait for the tasks to be refreshed.,任务已全部完成，等待刷新...,,,,,,すべてのタスクが完了し、更新を待っています...,모든 작업이 완료되었습니다. 새로고침을 기다리는 중입니다...
每周任务,Weekly,每周任务,,,,,,毎週のタスク,주간 작업
1000,1000,1000,,,,,,1000,1000
99999级 我是作者别打我,"Lv 99999, I'm the author, don't hit me!",99999级 我是作者别打我,,,,,,レベル99999 私が作者です、殴らないでください,레벨 99999 내가 작성자야 때리지마
9999999,9999999,9999999,,,,,,9999999,9999999
99,99,99,,,,,,99,99
全服排行榜,Global Leaderboard,全服排行榜,,,,,,サーバー全体のランキング,서버 전체 순위
排名,Ranking,排名,,,,,,ランキング,순위
名字,Name,名字,,,,,,名前,이름
等级,Level,等级,,,,,,学年,등급
高度,Height,高度,,,,,,高い,높은
击杀,Slay,击杀,,,,,,殺す,죽이다
等级模式,Level Mode,等级模式,,,,,,階層モード,계층적 모드
高度模式,Height Mode,高度模式,,,,,,高度モード,고도 모드
击杀模式,Kill Mode,击杀模式,,,,,,キルモード,킬 모드
段位 Lv.等级,Rank Lv. Level,段位 Lv.等级,,,,,,ドゥアン Lv.レベル,듀안 Lv.레벨
你所在房间内的排行榜。点击右侧排行模式按钮会刷新排行榜模式。,Leaderboard in your room. Tap the Rank Mode button on the right to refresh the leaderboard mode.,你所在房间内的排行榜。点击右侧排行模式按钮会刷新排行榜模式。,,,,,,あなたがいる部屋のリーダーボード。右側のランキングモードボタンをクリックするとランキングモードが更新されます。,현재 있는 방의 순위표입니다. 오른쪽의 순위 모드 버튼을 클릭하면 순위 모드가 새로고침됩니다.
切换房间排行榜,Switch room leaderboard,切换房间排行榜,,,,,,スイッチルームランキング,방 순위 전환
切换全服排行榜,Switch Global Leaderboard,切换全服排行榜,,,,,,サーバー全体のランキング リストに切り替える,서버 전체 순위 목록으로 전환

